"DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","NRO_ENCUESTA","ORDEN","P6016","P6020","P6040","P6051","P5502","P6071","P6071S1","P6074","P767","P6076","P6076S1","P6076S2","P6077","P6096","P6081","P6081S1","P6087","P6083","P6083S1","P6088","P6080","P5667","LLAVEHOG","FEX_C","N_HIJOS","N_NIETOS"
"5000017","1","1","592","1","1","2","56","1","5",,,"2","0","2","47","47288","1","9","3",,"2","2",,"2","5",,"50000171","2956.1643247549","1","2"
"5000017","2","1","592","2","2","1","30","3","2","2",,"2","1","2","76","76001","1","10","2",,"4","1","1",,"5",,"50000171","2956.1643247549",NULL,NULL
"5000017","3","1","592","3","1","1","7","4",,,,"2","0","2","47","47288","1","9","1","2",,"2",,"4","5",,"50000171","2956.1643247549",NULL,NULL
"5000017","4","1","592","4","1","2","5","4",,,,"2","0","2","47","47288","1","9","1","2",,"2",,"4","5",,"50000171","2956.1643247549",NULL,NULL
"5000032","1","1","592","1","1","2","81","1","3",,,"1",,,,,,,"3",,"1","3",,"1","6",,"50000321","1309.23366821642","2","1"
"5000032","2","1","592","2","2","2","51","3","5",,,"1",,,,,,,"3",,"3","1","1",,"6",,"50000321","1309.23366821642",NULL,NULL
"5000032","3","1","592","3","3","1","49","3","5",,,"1",,,,,,,"3",,"4","1","1",,"6",,"50000321","1309.23366821642",NULL,NULL
"5000032","4","1","592","4","4","2","28","4","6","2",,"1",,,,,,,"2",,"6","2",,"8","6",,"50000321","1309.23366821642",NULL,NULL
"5000042","1","1","592","1","1","2","45","1","3",,,"1",,,,,,,"2",,"2","2",,"2","6",,"50000421","2526.13900008698","2",NULL
"5000042","2","1","592","2","1","2","16","3","5",,,"1",,,,,,,"3",,"4","1","1",,"6",,"50000421","2526.13900008698",NULL,NULL
"5000042","3","1","592","3","1","1","14","3","5",,,"1",,,,,,,"3",,"4","1","1",,"6",,"50000421","2526.13900008698",NULL,NULL
"5000070","1","1","592","1","1","2","39","1","5",,,"1",,,,,,,"1","5",,"1","6",,"5",,"50000701","2063.22172285473","3",NULL
"5000070","2","1","592","2","1","2","14","3","5",,,"1",,,,,,,"2",,"4","1","1",,"5",,"50000701","2063.22172285473",NULL,NULL
"5000070","3","1","592","3","3","1","10","3","5",,,"1",,,,,,,"2",,"2","1","1",,"5",,"50000701","2063.22172285473",NULL,NULL
"5000070","4","1","592","4","4","2","6","3",,,,"1",,,,,,,"2",,"4","1","1",,"5",,"50000701","2063.22172285473",NULL,NULL
"5000070","5","1","592","5","5","1","65","5","2","1","6","1",,,,,,,"3",,"4","2",,"1","5",,"50000701","2063.22172285473",NULL,NULL
"5000070","6","1","592","6","6","2","60","5","2","1","5","1",,,,,,,"3",,"2","2",,"1","5",,"50000701","2063.22172285473",NULL,NULL
"5000072","1","1","592","1","1","2","77","1","3",,,"1",,,,,,,"3",,"2","3",,"2","6",,"50000721","1765.37585301524","1","1"
"5000072","2","1","592","2","2","2","54","3","4",,,"1",,,,,,,"3",,"8","1","1",,"6",,"50000721","1765.37585301524",NULL,NULL
"5000072","3","1","592","3","3","1","19","4","5",,,"1",,,,,,,"2",,"4","1","2",,"6",,"50000721","1765.37585301524",NULL,NULL
"5000114","1","1","592","1","1","2","48","1","3",,,"1",,,,,,,"2",,"9","2",,"1","1","800_02","50001141","952.364929439792","3",NULL
"5000114","2","1","592","2","2","1","20","3","5",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50001141","952.364929439792",NULL,NULL
"5000114","3","1","592","3","3","2","8","3",,,,"1",,,,,,,"3",,"1","1","1",,"6",,"50001141","952.364929439792",NULL,NULL
"5000114","4","1","592","4","1","2","6","3",,,,"1",,,,,,,"3",,"1","1","1",,"6",,"50001141","952.364929439792",NULL,NULL
"5000191","1","1","592","1","1","2","51","1","5",,,"1",,,,,,,"3",,"6","3",,"4","5",,"50001911","34.2595094200724","1",NULL
"5000191","2","1","592","2","2","1","24","3","5",,,"1",,,,,,,"2",,"10","1","1",,"3",,"50001911","34.2595094200724",NULL,NULL
"5000207","1","1","592","1","1","2","49","1","5",,,"1",,,,,,,"3",,"1","2",,"1","6",,"50002071","1159.05542615711","1",NULL
"5000207","2","1","592","2","2","2","22","3","5",,,"1",,,,,,,"2",,"6","1","1",,"6",,"50002071","1159.05542615711",NULL,NULL
"5000217","1","1","592","1","1","2","51","1","5",,,"2","19","2","25","25513","1","1","3",,"1","3",,"2","6",,"50002171","1300.35878027451","2",NULL
"5000217","2","1","592","2","2","1","22","3","5",,,"2","19","2","25","25513","1","9","2",,"1","1","1",,"6",,"50002171","1300.35878027451",NULL,NULL
"5000217","3","1","592","3","3","1","13","3","5",,,"1",,,,,,,"2",,"1","1","1",,"6",,"50002171","1300.35878027451",NULL,NULL
"5000221","1","1","592","1","1","2","41","1","3",,,"1",,,,,,,"3",,"4","2",,"4","6",,"50002211","1159.05542615711","1",NULL
"5000221","2","1","592","2","2","2","20","3","5",,,"1",,,,,,,"3",,"3","1","1",,"6",,"50002211","1159.05542615711",NULL,NULL
"5000229","1","1","592","1","1","2","51","1","5",,,"2","26","2","15","15403","1","7","2",,"2","2",,"2","6",,"50002291","1699.02807084616","1",NULL
"5000229","2","1","592","2","1","1","9","3",,,,"1",,,,,,,"2",,"10","1","1",,"6",,"50002291","1699.02807084616",NULL,NULL
"5000229","3","1","592","3","3","2","42","7","2","1","4","1",,,,,,,"2",,"8","2",,"2","6",,"50002291","1699.02807084616",NULL,NULL
"5000229","4","1","592","4","4","1","43","9","2","1","3","1",,,,,,,"2",,"8","2",,"4","6",,"50002291","1699.02807084616",NULL,NULL
"5000229","5","1","592","5","3","2","0","14",,,,"1",,,,,,,"1","4",,"1","3",,"6",,"50002291","1699.02807084616",NULL,NULL
"5000233","1","1","592","1","1","2","50","1","5",,,"1",,,,,,,"3",,"2","3",,"2","6",,"50002331","1159.05542615711","1",NULL
"5000233","2","1","592","2","2","2","22","3","5",,,"1",,,,,,,"2",,"4","1","1",,"6",,"50002331","1159.05542615711",NULL,NULL
"5000234","1","1","592","1","1","2","45","1","5",,,"1",,,,,,,"2",,"2","2",,"2","6",,"50002341","1159.05542615711","1",NULL
"5000234","2","1","592","2","2","2","19","3","5",,,"1",,,,,,,"2",,"2","1","1",,"6",,"50002341","1159.05542615711",NULL,NULL
"5000248","1","1","592","1","1","2","71","1","3",,,"1",,,,,,,"3",,"1","3",,"1","6",,"50002481","1006.68846374362","2",NULL
"5000248","2","1","592","2","2","2","36","3","5",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50002481","1006.68846374362",NULL,NULL
"5000248","3","1","592","3","3","2","43","3","4",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50002481","1006.68846374362",NULL,NULL
"5000265","1","1","592","1","1","2","35","1","5",,,"1",,,,,,,"3",,"2","2",,"2","6",,"50002651","1291.29260267827","1",NULL
"5000265","2","1","592","2","2","1","14","3","5",,,"1",,,,,,,"2",,"2","1","1",,"6",,"50002651","1291.29260267827",NULL,NULL
"5000277","1","1","592","1","1","2","78","1","3",,,"1",,,,,,,"3",,"1","3",,"1","6",,"50002771","466.661912198761","1",NULL
"5000277","2","1","592","2","2","2","36","3","5",,,"1",,,,,,,"3",,"2","1","1",,"6",,"50002771","466.661912198761",NULL,NULL
"5000287","1","1","592","1","1","2","19","1","5",,,"1",,,,,,,"2",,"7","2",,"6","6",,"50002871","692.998318193166","1",NULL
"5000287","2","1","592","2","2","2","0","3",,,,"1",,,,,,,"2",,"4","1","1",,"6",,"50002871","692.998318193166",NULL,NULL
"5000325","1","1","592","1","1","2","21","1","5",,,"1",,,,,,,"2",,"10","2",,"4","6",,"50003251","2199.38630057154","1",NULL
"5000325","2","1","592","2","2","2","1","3",,,,"1",,,,,,,"2",,"4","1","1",,"6",,"50003251","2199.38630057154",NULL,NULL
"5000331","1","1","592","1","1","2","59","1","5",,,"1",,,,,,,"3",,"10","3",,"1","6",,"50003311","907.378121490658","1",NULL
"5000331","2","1","592","2","2","1","21","3","5",,,"1",,,,,,,"2",,"4","1","1",,"6",,"50003311","907.378121490658",NULL,NULL
"5000333","1","1","592","1","1","2","51","1","5",,,"1",,,,,,,"2",,"4","2",,"10","6",,"50003331","730.010203088065","2",NULL
"5000333","2","1","592","2","2","1","19","3","5",,,"1",,,,,,,"2",,"2","1","1",,"6",,"50003331","730.010203088065",NULL,NULL
"5000333","3","1","592","3","3","2","29","3","5",,,"1",,,,,,,"2",,"2","1","1",,"6",,"50003331","730.010203088065",NULL,NULL
"5000343","1","1","592","1","1","2","32","1","5",,,"2","3","2","50","50689","1","8","2",,"2","2",,"2","6",,"50003431","876.775459052852","1",NULL
"5000343","2","1","592","2","2","1","14","3","5",,,"2","1","2","50","50689","1","8","2",,"10","1","1",,"6",,"50003431","876.775459052852",NULL,NULL
"5000355","1","1","592","1","1","2","31","1","5",,,"1",,,,,,,"2",,"9","2",,"9","5",,"50003551","933.560548897327","3",NULL
"5000355","2","1","592","2","2","1","13","3","5",,,"1",,,,,,,"2",,"1","1","1",,"5",,"50003551","933.560548897327",NULL,NULL
"5000355","3","1","592","3","3","1","9","3",,,,"1",,,,,,,"2",,"1","1","1",,"5",,"50003551","933.560548897327",NULL,NULL
"5000355","4","1","592","4","4","2","0","3",,,,"1",,,,,,,"2",,"10","1","1",,"5",,"50003551","933.560548897327",NULL,NULL
"5000382","1","1","592","1","1","2","66","1","3",,,"1",,,,,,,"3",,"2","3",,"1","6",,"50003821","1185.91056847186","1","1"
"5000382","2","1","592","2","2","1","40","3","4",,,"1",,,,,,,"3",,"2","1","1",,"6",,"50003821","1185.91056847186",NULL,NULL
"5000382","3","1","592","3","3","1","10","4","5",,,"1",,,,,,,"1","2",,"2",,"1","6",,"50003821","1185.91056847186",NULL,NULL
"5000403","1","1","592","1","1","2","73","1","3",,,"1",,,,,,,"3",,"1","3",,"1","6",,"50004031","961.640871389142","1",NULL
"5000403","2","1","592","2","2","1","44","3","5",,,"1",,,,,,,"3",,"9","1","1",,"6",,"50004031","961.640871389142",NULL,NULL
"5000404","1","1","592","1","1","2","78","1","3",,,"1",,,,,,,"3",,"1","3",,"1","6",,"50004041","1046.72803739388","2",NULL
"5000404","2","1","592","2","2","1","45","3","5",,,"1",,,,,,,"3",,"2","1","1",,"6",,"50004041","1046.72803739388",NULL,NULL
"5000404","3","1","592","3","3","1","40","3","5",,,"1",,,,,,,"3",,"2","1","1",,"6",,"50004041","1046.72803739388",NULL,NULL
"5000405","1","1","592","1","1","2","60","1","3",,,"1",,,,,,,"3",,"9","3",,"9","6",,"50004051","915.193042457436","1",NULL
"5000405","2","1","592","2","1","1","16","3","5",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50004051","915.193042457436",NULL,NULL
"5000423","1","1","592","1","1","2","34","1","5",,,"1",,,,,,,"3",,"3","2",,"2","6",,"50004231","1105.39692609007","1",NULL
"5000423","2","1","592","2","2","1","2","3",,,,"1",,,,,,,"2",,"4","1","1",,"6",,"50004231","1105.39692609007",NULL,NULL
"5000445","1","1","592","1","1","2","52","1","5",,,"1",,,,,,,"3",,"10","1","5",,"6",,"50004451","304.292506353505","1","1"
"5000445","2","1","592","2","2","2","27","3","6","1","3","1",,,,,,,"2",,"4","1","1",,"6",,"50004451","304.292506353505",NULL,NULL
"5000445","3","1","592","3","3","1","27","8","6","1","2","1",,,,,,,"2",,"10","2",,"1","6",,"50004451","304.292506353505",NULL,NULL
"5000445","4","1","592","4","4","2","2","4",,,,"1",,,,,,,"1","3",,"1","2",,"6",,"50004451","304.292506353505",NULL,NULL
"5000445","5","1","592","5","5","2","73","5","3",,,"1",,,,,,,"2",,"10","2",,"9","6",,"50004451","304.292506353505",NULL,NULL
"5000452","1","1","592","1","1","2","75","1","3",,,"1",,,,,,,"3",,"9","2",,"9","6",,"50004521","349.273174564793","1","1"
"5000452","2","1","592","2","2","1","41","3","5",,,"1",,,,,,,"2",,"9","1","1",,"6",,"50004521","349.273174564793",NULL,NULL
"5000452","3","1","592","3","3","2","15","4","5",,,"1",,,,,,,"2",,"3","2",,"10","6",,"50004521","349.273174564793",NULL,NULL
"5000453","1","1","592","1","1","2","22","1","5",,,"2","0","2","18","18094","2","8","3",,"1","2",,"2","6",,"50004531","473.218593575751","1",NULL
"5000453","2","1","592","2","2","1","6","3",,,,"2","0","2","18","18094","2","9","2",,"10","1","1",,"6",,"50004531","473.218593575751",NULL,NULL
"5000460","1","1","592","1","1","2","74","1","3",,,"1",,,,,,,"3",,"10","3",,"10","6",,"50004601","367.153189270523","1",NULL
"5000460","2","1","592","2","2","1","45","3","5",,,"1",,,,,,,"2",,"10","1","1",,"6",,"50004601","367.153189270523",NULL,NULL
"5000473","1","1","592","1","1","2","26","1","3",,,"1",,,,,,,"2",,"1","1","4",,"6",,"50004731","298.297748432394","2",NULL
"5000473","2","1","592","2","2","1","5","3",,,,"1",,,,,,,"3",,"3","1","1",,"6",,"50004731","298.297748432394",NULL,NULL
"5000473","3","1","592","3","3","1","3","3",,,,"1",,,,,,,"3",,"3","1","1",,"6",,"50004731","298.297748432394",NULL,NULL
"5000473","4","1","592","4","4","2","58","5","4",,,"2","5","2","85","85125","2","3","3",,"1","2",,"1","6",,"50004731","298.297748432394",NULL,NULL
"5000477","1","1","592","1","1","2","52","1","3",,,"2","9","2","11","11001","1","9","3",,"10","3",,"1","6",,"50004771","406.738895327462","2",NULL
"5000477","2","1","592","2","2","1","21","3","5",,,"2","9","2","11","11001","1","9","2",,"4","1","1",,"6",,"50004771","406.738895327462",NULL,NULL
"5000477","3","1","592","3","3","2","12","3","5",,,"2","9","2","11","11001","1","9","3",,"1","1","1",,"6",,"50004771","406.738895327462",NULL,NULL
"5000491","1","1","592","1","1","2","46","1","3",,,"1",,,,,,,"2",,"1","2",,"1","6",,"50004911","406.738895327462","2",NULL
"5000491","2","1","592","2","2","1","16","3","5",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50004911","406.738895327462",NULL,NULL
"5000491","3","1","592","3","1","2","12","3","5",,,"1",,,,,,,"3",,"3","1","1",,"6",,"50004911","406.738895327462",NULL,NULL
"5000519","1","1","592","1","1","2","60","1","5",,,"2","2","2","68","68307","1","8","3",,"10","3",,"10","6",,"50005191","2341.00106098334","1","1"
"5000519","2","1","592","2","2","2","24","3","5",,,"2","2","2","68","68001","1","8","3",,"10","1","1",,"6",,"50005191","2341.00106098334",NULL,NULL
"5000519","3","1","592","3","2","2","6","4",,,,"2","2","2","68","68001","1","4","2",,"8","1","2",,"6",,"50005191","2341.00106098334",NULL,NULL
"5000521","1","1","592","1","1","2","57","1","5",,,"2","16","2","54","54261","1","7","3",,"9","3",,"9","6",,"50005211","1834.30757395414","1","1"
"5000521","2","1","592","2","3","2","25","3","6","2",,"1",,,,,,,"2",,"4","1","1",,"6",,"50005211","1834.30757395414",NULL,NULL
"5000521","3","1","592","3","1","1","1","4",,,,"1",,,,,,,"2",,"4","1","2",,"6",,"50005211","1834.30757395414",NULL,NULL
"5000523","1","1","592","1","1","2","49","1","5",,,"1",,,,,,,"2",,"9","2",,"1","6",,"50005231","2086.90240052223","1",NULL
"5000523","2","1","592","2","2","1","15","3","5",,,"1",,,,,,,"2",,"4","1","1",,"6",,"50005231","2086.90240052223",NULL,NULL
"5000533","1","1","592","1","1","2","79","1","3",,,"2","28","2","68","68081","1","9","3",,"1","3",,"1","6",,"50005331","2166.20119579219","1","3"
"5000533","2","1","592","2","2","2","49","3","3",,,"2","28","2","68","68081","1","9","3",,"1","1","1",,"6",,"50005331","2166.20119579219",NULL,NULL
"5000533","3","1","592","3","3","1","27","4","5",,,"1",,,,,,,"3",,"1","1","2",,"6",,"50005331","2166.20119579219",NULL,NULL
"5000533","4","1","592","4","4","2","18","4","5",,,"1",,,,,,,"3",,"4","1","2",,"6",,"50005331","2166.20119579219",NULL,NULL
"5000533","5","1","592","5","2","1","11","4","5",,,"1",,,,,,,"3",,"4","1","2",,"6",,"50005331","2166.20119579219",NULL,NULL
"5000535","1","1","592","1","1","2","47","1","3",,,"1",,,,,,,"2",,"9","2",,"9","6",,"50005351","2110.79797155745","1",NULL
"5000535","2","1","592","2","1","1","10","3","5",,,"1",,,,,,,"3",,"4","1","1",,"6",,"50005351","2110.79797155745",NULL,NULL
"5000570","1","1","592","1","1","2","52","1","3",,,"1",,,,,,,"3",,"10","2",,"10","6",,"50005701","385.965498858306","2",NULL
"5000570","2","1","592","2","2","2","23","3","5",,,"1",,,,,,,"3",,"4","1","1",,"6",,"50005701","385.965498858306",NULL,NULL
"5000570","3","1","592","3","3","1","20","3","5",,,"1",,,,,,,"3",,"4","1","1",,"6",,"50005701","385.965498858306",NULL,NULL
"5000580","1","1","592","1","1","2","66","1","3",,,"1",,,,,,,"3",,"10","3",,"10","6",,"50005801","1850.94602152292","1",NULL
"5000580","2","1","592","2","2","1","25","3","5",,,"1",,,,,,,"2",,"6","1","1",,"6",,"50005801","1850.94602152292",NULL,NULL
"5000620","1","1","592","1","1","2","30","1","5",,,"2","13","2","76","76892","1","9","2",,"4","2",,"4","5",,"50006201","176.431506013911","3",NULL
"5000620","2","1","592","2","1","2","4","3",,,,"1",,,,,,,"2",,"10","1","1",,"5",,"50006201","176.431506013911",NULL,NULL
"5000620","3","1","592","3","1","2","1","3",,,,"1",,,,,,,"2",,"9","1","1",,"5",,"50006201","176.431506013911",NULL,NULL
"5000620","4","1","592","4","1","2","1","3",,,,"1",,,,,,,"2",,"10","1","1",,"5",,"50006201","176.431506013911",NULL,NULL
"5000620","5","1","592","5","5","2","21","7","5",,,"2","13","2","76","76001","1","9","2",,"4","2",,"4","6",,"50006201","176.431506013911",NULL,NULL
"5000620","6","1","592","6","6","2","82","9","5",,,"2","13","2","76","76001","1","9","3",,"10","3",,"10","6",,"50006201","176.431506013911",NULL,NULL
"5000627","1","1","592","1","1","2","27","1","5",,,"1",,,,,,,"2",,"3","2",,"1","5",,"50006271","124.830214843221","2",NULL
"5000627","2","1","592","2","1","1","8","3",,,,"1",,,,,,,"2",,"4","1","1",,"5",,"50006271","124.830214843221",NULL,NULL
"5000627","3","1","592","3","1","2","1","3",,,,"1",,,,,,,"2",,"4","1","1",,"5",,"50006271","124.830214843221",NULL,NULL
"5000627","4","1","592","4","4","2","23","7","5",,,"1",,,,,,,"2",,"3","2",,"2","5",,"50006271","124.830214843221",NULL,NULL
"5000644","1","1","592","1","1","2","65","1","3",,,"1",,,,,,,"3",,"1","3",,"1","5",,"50006441","596.925487522349","1","2"
"5000644","2","1","592","2","2","1","38","3","1","1","3","1",,,,,,,"3",,"2","1","1",,"5",,"50006441","596.925487522349",NULL,NULL
"5000644","3","1","592","3","3","2","21","8","1","1","2","1",,,,,,,"2",,"3","2",,"4","6",,"50006441","596.925487522349",NULL,NULL
"5000644","4","1","592","4","3","1","3","4",,,,"1",,,,,,,"1","2",,"1","3",,"6",,"50006441","596.925487522349",NULL,NULL
"5000644","5","1","592","5","3","2","0","4",,,,"1",,,,,,,"1","2",,"1","3",,"6",,"50006441","596.925487522349",NULL,NULL
"5000654","1","1","592","1","1","2","79","1","3",,,"1",,,,,,,"3",,"2","3",,"2","6",,"50006541","544.028529430273","1",NULL
"5000654","2","1","592","2","2","1","54","3","5",,,"1",,,,,,,"3",,"3","1","1",,"6",,"50006541","544.028529430273",NULL,NULL
"5000664","1","1","592","1","1","2","43","1","5",,,"2","12","2","88","88564","1","8","2",,"1","2",,"10","5",,"50006641","177.258496514283","1",NULL
"5000664","2","1","592","2","1","2","12","3","5",,,"1",,,,,,,"2",,"10","1","1",,"5",,"50006641","177.258496514283",NULL,NULL
"5000666","1","1","592","1","1","2","92","1","3",,,"2","11","2","76","76001","1","7","3",,"10","3",,"10","6",,"50006661","123.352457940866","1","1"
"5000666","2","1","592","2","2","2","60","3","5",,,"2","11","2","76","76001","1","9","3",,"2","1","1",,"6",,"50006661","123.352457940866",NULL,NULL
"5000666","3","1","592","3","3","2","21","4","5",,,"1",,,,,,,"2",,"10","1","2",,"6",,"50006661","123.352457940866",NULL,NULL
"5000676","1","1","592","1","1","2","65","1","5",,,"1",,,,,,,"3",,"1","2",,"1","6",,"50006761","191.813621755128","1",NULL
"5000676","2","1","592","2","2","1","30","3","5",,,"1",,,,,,,"2",,"1","1","1",,"6",,"50006761","191.813621755128",NULL,NULL
"5000696","1","1","592","1","1","2","81","1","3",,,"1",,,,,,,"3",,"2","3",,"2","6",,"50006961","177.834491784687","1",NULL
"5000696","2","1","592","2","2","1","56","3","5",,,"1",,,,,,,"3",,"4","1","1",,"6",,"50006961","177.834491784687",NULL,NULL
"5000707","1","1","592","1","1","2","36","1","5",,,"1",,,,,,,"2",,"2","2",,"2","5",,"50007071","221.881048727473","1",NULL
"5000707","2","1","592","2","1","2","3","3",,,,"1",,,,,,,"2",,"4","1","1",,"5",,"50007071","221.881048727473",NULL,NULL
"5000711","1","1","592","1","1","2","21","1","5",,,"1",,,,,,,"2",,"4","2",,"9","5",,"50007111","282.532430714824","1",NULL
"5000711","2","1","592","2","1","1","3","3",,,,"1",,,,,,,"2",,"4","1","1",,"5",,"50007111","282.532430714824",NULL,NULL
"5000741","1","1","592","1","1","2","43","1","5",,,"1",,,,,,,"3",,"2","1","3",,"6",,"50007411","135.465695118563","1",NULL
"5000741","2","1","592","2","2","1","26","3","5",,,"1",,,,,,,"2",,"10","1","1",,"6",,"50007411","135.465695118563",NULL,NULL
"5000741","3","1","592","3","3","2","75","5","3",,,"1",,,,,,,"3",,"10","3",,"2","6",,"50007411","135.465695118563",NULL,NULL
"5000769","1","1","592","1","1","2","63","1","5",,,"1",,,,,,,"2",,"1","2",,"1","6",,"50007691","297.404865509658","1",NULL
"5000769","2","1","592","2","2","1","28","3","5",,,"1",,,,,,,"2",,"10","1","1",,"6",,"50007691","297.404865509658",NULL,NULL
"5000775","1","1","592","1","1","2","49","1","3",,,"1",,,,,,,"3",,"1","2",,"1","6",,"50007751","141.247507176408","1",NULL
"5000775","2","1","592","2","2","1","18","3","5",,,"1",,,,,,,"3",,"2","1","1",,"6",,"50007751","141.247507176408",NULL,NULL
"5000778","1","1","592","1","1","2","68","1","3",,,"1",,,,,,,"3",,"10","3",,"10","6",,"50007781","81.3300735877217","1",NULL
"5000778","2","1","592","2","2","2","42","3","4",,,"1",,,,,,,"3",,"10","1","1",,"6",,"50007781","81.3300735877217",NULL,NULL
"5000807","1","1","592","1","1","2","55","1","5",,,"1",,,,,,,"2",,"10","3",,"9","6",,"50008071","140.538598350759","1",NULL
"5000807","2","1","592","2","1","1","17","3","5",,,"1",,,,,,,"2",,"4","1","1",,"6",,"50008071","140.538598350759",NULL,NULL
"5000839","1","1","592","1","1","2","46","1","3",,,"1",,,,,,,"2",,"10","2",,"10","6",,"50008391","268.807838593288","3",NULL
"5000839","2","1","592","2","2","2","15","3","5",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50008391","268.807838593288",NULL,NULL
"5000839","3","1","592","3","1","1","13","3","5",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50008391","268.807838593288",NULL,NULL
"5000839","4","1","592","4","1","1","12","3","5",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50008391","268.807838593288",NULL,NULL
"5000886","1","1","592","1","1","2","90","1","3",,,"1",,,,,,,"3",,"9","3",,"9","6",,"50008861","158.987478764004","2",NULL
"5000886","2","1","592","2","2","1","63","3","5",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50008861","158.987478764004",NULL,NULL
"5000886","3","1","592","3","3","2","61","3","5",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50008861","158.987478764004",NULL,NULL
"5000892","1","1","592","1","1","2","67","1","3",,,"2","30","2","19","19130","2","1","3",,"10","3",,"10","6",,"50008921","198.148174234887","1",NULL
"5000892","2","1","592","2","2","1","42","3","5",,,"2","35","2","19","19130","2","1","3",,"1","1","1",,"6",,"50008921","198.148174234887",NULL,NULL
"5000913","1","1","592","1","1","2","63","1","3",,,"1",,,,,,,"2",,"1","2",,"1","6",,"50009131","127.184309366085","1",NULL
"5000913","2","1","592","2","2","2","37","3","5",,,"1",,,,,,,"3",,"8","1","1",,"6",,"50009131","127.184309366085",NULL,NULL
"5000915","1","1","592","1","1","2","70","1","3",,,"2","20","2","19","19743","2","2","3",,"10","3",,"9","1","290_07","50009151","158.987478764004","1",NULL
"5000915","2","1","592","2","2","2","54","3","4",,,"2","20","2","19","19743","2","9","3",,"2","1","1",,"1","290_07","50009151","158.987478764004",NULL,NULL
"5000976","1","1","592","1","1","2","59","1","3",,,"1",,,,,,,"2",,"1","3",,"1","6",,"50009761","767.779893186021","1",NULL
"5000976","2","1","592","2","2","1","27","3","5",,,"1",,,,,,,"3",,"9","1","1",,"6",,"50009761","767.779893186021",NULL,NULL
"5000980","1","1","592","1","1","2","87","1","3",,,"1",,,,,,,"3",,"9","3",,"9","6",,"50009801","767.779893186021","1",NULL
"5000980","2","1","592","2","2","1","49","3","5",,,"1",,,,,,,"3",,"1","1","1",,"5",,"50009801","767.779893186021",NULL,NULL
"5001007","1","1","592","1","1","2","68","1","3",,,"2","53","2","73","73873","2","9","3",,"1","3",,"9","6",,"50010071","99.8102976107405","2","4"
"5001007","2","1","592","2","2","2","38","3","5",,,"1",,,,,,,"3",,"9","1","1",,"6",,"50010071","99.8102976107405",NULL,NULL
"5001007","3","1","592","3","3","1","31","3","5",,,"1",,,,,,,"2",,"9","1","1",,"6",,"50010071","99.8102976107405",NULL,NULL
"5001007","4","1","592","4","4","1","20","4","5",,,"1",,,,,,,"2",,"9","2",,"9","6",,"50010071","99.8102976107405",NULL,NULL
"5001007","5","1","592","5","5","1","19","4","5",,,"1",,,,,,,"2",,"9","2",,"9","6",,"50010071","99.8102976107405",NULL,NULL
"5001007","6","1","592","6","1","2","15","4","5",,,"1",,,,,,,"2",,"2","2",,"1","6",,"50010071","99.8102976107405",NULL,NULL
"5001007","7","1","592","7","1","2","13","4","5",,,"1",,,,,,,"2",,"1","2",,"2","6",,"50010071","99.8102976107405",NULL,NULL
"5001035","1","1","592","1","1","2","76","1","3",,,"1",,,,,,,"3",,"1","3",,"1","6",,"50010351","1120.82559893007","1",NULL
"5001035","2","1","592","2","2","1","48","3","5",,,"1",,,,,,,"3",,"1","1","1",,"6",,"50010351","1120.82559893007",NULL,NULL
"5001040","1","1","592","1","1","2","45","1","5",,,"1",,,,,,,"2",,"10","2",,"10","6",,"50010401","910.004299127088","1",NULL
"5001040","2","1","592","2","2","1","28","3","5",,,"1",,,,,,,"3",,"9","1","1",,"6",,"50010401","910.004299127088",NULL,NULL
"5001040","3","1","592","3","3","2","66","9","5",,,"1",,,,,,,"3",,"9","3",,"9","6",,"50010401","910.004299127088",NULL,NULL
"5001043","1","1","592","1","1","2","68","1","3",,,"1",,,,,,,"3",,"1","3",,"9","6",,"50010431","810.832272816725","1",NULL
"5001043","2","1","592","2","2","2","41","3","5",,,"1",,,,,,,"2",,"10","1","1",,"6",,"50010431","810.832272816725",NULL,NULL
"5001066","1","1","592","1","1","2","69","1","3",,,"1",,,,,,,"3",,"9","3",,"9","6",,"50010661","810.832272816725","1",NULL
"5001066","2","1","592","2","2","2","40","3","5",,,"1",,,,,,,"3",,"4","1","1",,"6",,"50010661","810.832272816725",NULL,NULL
"5001074","1","1","592","1","1","2","24","1","5",,,"1",,,,,,,"2",,"2","2",,"2","6",,"50010741","2147.23728956601","4",NULL
"5001074","2","1","592","2","1","2","8","3",,,,"1",,,,,,,"2",,"4","1","1",,"6",,"50010741","2147.23728956601",NULL,NULL
"5001074","3","1","592","3","3","2","6","3",,,,"1",,,,,,,"2",,"4","1","1",,"6",,"50010741","2147.23728956601",NULL,NULL
