DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P6016;P1894;P6020;P6040;P6051;P5502;P6071;P6071S1;P6074;P767;P6076;P6076S1;P6076S2;P6077;P6096;P6081;P6081S1;P6087;P6083;P6083S1;P6088;P6080;P5667;P1895;P1896;P1897;P1898;P1899;P1901;P1902;P1903;P1904;P1905;LLAVEHOG;FEX_C;N_HIJOS;N_NIETOS;P1910;P1911;P1912;P1710;P1710S1;P1710S2;P1710S3;P1710S4;P1710S5;P1710S6;P1710S7;P1710S8;P1710S9;P1084;P765;P765S1;P765S2;P765S3;P765S4;P765S5;P765S6;P765S7;P765S8;P1085;P1085S1;P1085S2;P1085S3;P1085S4;P1085S5;P1085S6;P1085S7;P1085S8;P1083;P1083S1;P1083S2;P1083S3;P1083S4;P1083S5;P1083S6;P1083S7;P1083S8;P1083S9;P1083S10;P1083S11;P1082;P1082S1;P1082S2;P5504;P5505;P5505S1;P5505S2;P769;P1080;P1080S1;P1080S2;P1080S3;P1080S4;P1080S5;P1080S6;P804;P805;P805S1;P805S2;P805S3;P805S4;P805S5
6000013;1;1;1;1;3;2;64;1;3;;;1;;;;;;;3;;2;3;;2;6;;8;8;8;10;9;10;7;7;0;8;60000131;1655.768908;1;1;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;;;;;;1;;;;;;1;;;1;2;1;;;;;1;;1;;1;1;;;1;;;1;;;
6000013;2;1;2;2;3;2;37;3;5;;;1;;;;;;;3;;2;1;1;;6;;8;7;7;7;8;10;10;10;8;9;60000131;1655.768908;0;0;2;2;5;;1;1;1;1;1;1;1;2;2;1;;;1;;1;;;;;;1;;;;;;;;;;1;1;;1;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;1;;1;1;;;
6000013;3;1;3;3;2;2;11;4;5;;;1;;;;;;;2;;4;1;2;;6;;;;;;;;;;;;60000131;1655.768908;0;0;5;2;1;;1;1;1;1;2;2;1;2;2;1;;;1;;;;;;;;1;;1;;;;;;;;1;1;;;1;;;;;;2;;;2;;;;;;;;;;;;5;;;;;;
6000048;1;1;1;1;3;2;57;1;3;;;1;;;;;;;3;;2;2;;1;6;;9;7;8;5;8;9;9;9;9;10;60000481;2119.931089;1;1;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;1;2;;1;;;;;;2;;;1;;;
6000048;2;1;2;2;3;2;32;3;2;1;3;1;;;;;;;3;;2;1;1;;6;;6;3;5;7;3;4;5;5;4;6;60000481;2119.931089;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;1;;;;;;;;;;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;3;;1;;;;
6000048;3;1;3;3;3;1;46;8;2;1;2;2;7;2;68;68689;1;5;2;;2;2;;2;6;;10;9;10;9;10;10;9;0;0;10;60000481;2119.931089;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;1;;;;;;;;;;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;3;;1;;;;
6000048;4;1;4;4;2;2;14;4;5;;;1;;;;;;;1;3;;1;2;;6;;;;;;;;;;;;60000481;2119.931089;0;0;2;5;5;;1;1;1;2;2;1;2;2;2;2;;1;;;1;;;;;;;;1;;1;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;;1;1;;;1;;1;;;;
6000052;1;1;1;1;3;2;58;1;3;;;1;;;;;;;3;;9;3;;1;6;;10;5;8;10;10;5;6;0;10;10;60000521;1611.551949;1;1;5;1;5;;1;1;1;1;2;2;2;2;2;1;;;1;;1;;;;;;1;;;;;;;;;;;1;;;;;1;;;;1;2;1;;;;;1;;1;;1;1;;;4;;1;;;;
6000052;2;1;2;2;3;2;30;3;5;;;1;;;;;;;3;;2;1;1;;6;;9;8;10;7;9;8;9;5;6;10;60000521;1611.551949;0;0;1;5;5;;1;1;1;1;1;1;1;1;2;1;;1;;;1;;;;;;1;1;;;;;;;;1;;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;5;;;;;;
6000052;3;1;3;3;2;2;13;4;5;;;1;;;;;;;2;;8;1;2;;6;;;;;;;;;;;;60000521;1611.551949;0;0;2;1;1;;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;;;;;;1;;;;;;;;;1;1;1;;;1;;1;;;;1;2;1;;;;;2;;1;;1;1;;;5;;;;;;
6000053;1;1;1;1;3;2;40;1;5;;;2;4;2;68;68669;2;8;2;;2;2;;2;6;;8;6;7;6;8;7;7;6;5;10;60000531;2347.700598;1;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;2;;;1;;;
6000053;2;1;2;1;1;2;7;3;;;;2;4;2;68;68669;2;9;2;;10;1;1;;6;;;;;;;;;;;;60000531;2347.700598;0;0;3;5;5;;2;2;2;2;2;2;2;2;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;5;;;;;;
6000056;1;1;1;1;3;2;59;1;5;;;2;10;2;54;54498;1;3;3;;10;3;;10;6;;8;5;6;8;8;10;9;3;0;10;60000561;1972.389828;1;0;5;4;5;;1;1;2;2;2;2;2;2;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;1;;1;;1;;;;1;;;1;1;;
6000056;2;1;2;2;4;1;22;3;5;;;2;10;2;54;54498;1;3;2;;10;1;1;;6;;7;6;7;8;7;10;9;2;0;10;60000561;1972.389828;0;0;1;1;5;;1;1;1;1;1;1;1;1;2;1;;1;1;;1;;;;;;1;1;1;1;;;;;;1;1;1;;;1;;;;;;1;2;1;;;;;1;;1;1;1;1;;;5;;;;;;
6000056;3;1;3;3;3;2;50;7;5;;;2;10;2;54;54498;1;3;3;;10;3;;4;6;;8;6;7;6;6;5;4;5;6;8;60000561;1972.389828;0;0;3;4;5;;1;1;1;2;1;1;1;2;2;2;;1;;;1;;;;;;;;;1;;;1;;;;1;1;;;;;;;;;1;2;1;;;;;1;;1;;1;1;;;5;;;;;;
6000056;4;1;4;4;3;2;44;7;4;;;2;10;2;54;54498;1;3;3;;10;3;;10;6;;7;6;6;9;8;8;8;8;8;10;60000561;1972.389828;0;0;4;4;4;;1;1;1;2;1;1;1;2;2;1;;1;1;;;;;;;;;;;1;1;;;1;;;1;1;;;;;;;;;2;;;1;;;1;2;;1;;1;;;;2;;1;;;;
6000056;5;1;5;5;3;1;24;9;5;;;2;10;2;54;54498;1;3;2;;10;1;3;;6;;7;8;7;8;8;8;4;8;7;8;60000561;1972.389828;0;0;1;1;1;;1;1;1;1;1;1;1;2;2;1;;1;;;1;;;;;;;1;1;1;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;4;;1;;;;
6000056;6;1;6;6;3;2;22;9;5;;;2;10;2;54;54498;1;3;2;;10;1;3;;6;;7;7;8;8;8;6;8;8;6;7;60000561;1972.389828;0;0;3;2;5;;1;1;1;1;1;1;1;2;2;2;;1;1;;1;;;;;;;;1;1;1;;;;;;1;1;;;1;;;;;;1;2;1;;;;;1;;1;1;1;1;;;5;;;;;;
6000058;1;1;1;1;3;2;77;1;5;;;1;;;;;;;3;;3;3;;9;6;;7;3;5;6;6;6;7;7;7;7;60000581;2493.257412;1;2;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;1;;1;1;;;
6000058;2;1;2;2;3;2;54;3;6;1;3;1;;;;;;;2;;10;1;1;;6;;7;8;7;8;8;8;5;5;7;8;60000581;2493.257412;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;1;;;;;2;;1;;;;
6000058;3;1;3;3;3;1;55;8;6;1;2;1;;;;;;;2;;10;2;;1;6;;8;7;6;5;5;6;5;5;6;6;60000581;2493.257412;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;1;;;;;2;;1;;;;
6000058;4;1;4;4;3;1;23;4;5;;;1;;;;;;;1;3;;1;2;;6;;6;9;7;4;7;6;7;8;6;10;60000581;2493.257412;0;0;1;2;2;;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;;;;;;1;;1;1;;;;;;1;1;1;;;1;;;;;;1;2;1;;;;;1;;1;;1;1;;;1;;1;;;;
6000058;5;1;5;5;3;2;19;4;5;;;1;;;;;;;1;3;;1;2;;6;;5;7;7;7;7;7;7;7;6;7;60000581;2493.257412;0;0;1;4;5;;1;1;1;1;1;1;1;1;2;1;;1;;;1;;;;;;1;;1;;1;;;;;1;1;1;;;;;1;;;;1;2;1;;;;;1;;1;;1;1;;;1;;1;;;;
6000058;6;1;6;6;3;1;37;9;5;;;1;;;;;;;2;;10;2;;10;6;;5;7;6;6;5;7;6;6;4;6;60000581;2493.257412;0;0;1;2;5;;1;1;1;1;1;1;1;2;2;1;;1;1;;1;;;;;;1;1;;;;;1;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;2;;1;;;;
6000066;1;1;1;1;3;2;57;1;3;;;1;;;;;;;3;;9;3;;10;6;;10;6;0;10;0;5;4;8;8;1;60000661;154.0468458;1;1;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;5;;;;;;
6000066;2;1;2;2;3;2;38;3;5;;;1;;;;;;;3;;4;1;1;;6;;10;7;10;5;8;10;7;7;0;10;60000661;154.0468458;0;0;5;1;5;;1;1;1;1;1;2;1;2;2;1;;;1;;;;;;;;1;1;;;;;;;;1;1;1;;1;1;;;1;;;1;2;1;;;;;1;;1;1;1;;;;5;;;;;;
6000066;3;1;3;1;2;2;15;4;5;;;1;;;;;;;2;;4;2;;7;6;;10;10;10;10;10;10;10;0;2;10;60000661;154.0468458;0;0;5;2;3;;1;1;1;1;1;1;1;1;2;1;;;1;1;1;;1;;;;1;;1;;1;1;;;;;;1;1;;;;1;1;1;;1;2;1;;;;;1;;1;;1;1;;1;5;;;;;;
6000073;1;1;1;1;3;2;53;1;5;;;1;;;;;;;3;;4;2;;4;6;;10;0;0;10;0;10;10;10;0;10;60000731;246.4921722;1;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;1;;;;1;;;;1;;
6000073;2;1;2;2;3;1;29;3;5;;;1;;;;;;;2;;10;1;1;;6;;10;10;10;10;10;10;10;0;0;10;60000731;246.4921722;0;0;2;5;5;;1;1;1;1;1;1;1;2;2;2;;1;;;1;;;;;;;1;;;;;;;;1;1;1;;;;;1;;;;1;2;1;;;;;1;;1;1;1;1;;;2;;1;1;;;
6000074;1;1;1;1;3;2;26;1;5;;;1;;;;;;;2;;10;2;;3;6;;10;6;9;9;10;10;10;5;4;10;60000741;522.0949372;2;0;1;5;5;;2;2;2;2;2;2;2;2;2;1;;;;;1;;;;;;1;;;;;;;;;;;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;5;;;;;;
6000074;2;1;2;1;2;2;10;3;5;;;1;;;;;;;2;;10;1;1;;6;;;;;;;;;;;;60000741;522.0949372;0;0;1;5;5;;2;2;2;2;2;2;2;2;2;1;;;;;1;;;;;;1;;;;;;;;;;;;;;1;;1;;1;;1;2;1;;;;;1;;1;;;1;;;5;;;;;;
6000074;3;1;3;1;1;2;7;3;;;;1;;;;;;;2;;10;1;1;;6;;;;;;;;;;;;60000741;522.0949372;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;;;;;;;;;;;1;;;;2;;;1;;;1;1;;;;;1;;;5;;;;;;
6000088;1;1;1;1;3;2;52;1;3;;;1;;;;;;;3;;10;3;;10;6;;10;10;10;10;10;10;10;0;0;10;60000881;421.9102014;2;0;5;5;5;;;;;;;;;;;2;;;;;;;1;;;;;1;;1;;;;;;;1;1;;;;;;;;;1;2;1;;;;;1;;1;1;1;;;;2;;;1;;;
6000088;2;1;2;2;3;2;24;3;5;;;1;;;;;;;3;;10;1;1;;6;;10;9;10;10;0;10;0;0;0;10;60000881;421.9102014;0;0;5;5;5;;;;;;;;;;;2;;;;;1;;;;;;;;;1;1;;;;;;1;1;;;1;;;;;;1;2;1;;;;;2;;1;;1;1;;;5;;;;;;
6000088;3;1;3;3;3;1;21;3;5;;;1;;;;;;;3;;10;1;1;;6;;10;10;10;10;10;10;10;0;0;10;60000881;421.9102014;0;0;5;5;5;;;;;;;;;;;2;;;;;1;;;;;;;1;;;;;;;;;1;1;;;;;;;;;1;2;1;;;;;2;;1;1;1;1;;;5;;;;;;
6000101;1;1;1;1;3;2;54;1;3;;;2;3;2;66;66001;1;9;3;;2;2;;2;6;;8;9;9;9;9;9;8;2;3;9;60001011;1418.647796;0;1;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;5;;;;;;
6000101;2;1;2;1;1;1;2;4;;;;1;;;;;;;2;;10;2;;4;6;;;;;;;;;;;;60001011;1418.647796;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6000112;1;1;1;1;3;2;56;1;3;;;1;;;;;;;3;;2;2;;2;6;;10;10;10;10;10;9;9;1;1;10;60001121;1822.601087;1;2;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;;;;;;1;;;;;;;;;1;2;1;;;;;1;;1;;1;1;;;1;;1;1;;;
6000112;2;1;2;2;3;2;33;3;4;;;1;;;;;;;3;;2;1;1;;6;;10;9;10;9;10;9;9;3;2;10;60001121;1822.601087;0;0;5;2;5;;1;1;1;1;2;2;1;1;2;1;;;1;;1;;;;;;1;1;;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;;1;1;;;1;;1;1;1;;
6000112;3;1;3;3;3;1;20;4;5;;;1;;;;;;;3;;2;1;2;;6;;10;10;9;9;8;9;7;2;2;10;60001121;1822.601087;0;0;5;1;1;;1;1;1;1;1;1;1;1;1;1;;;1;;1;;;;;;1;;1;;;;;;;1;1;1;;;;;;;;;1;2;1;;;;;1;;1;;1;1;;;1;;1;;;;
6000112;4;1;4;4;2;1;10;4;5;;;1;;;;;;;2;;4;1;2;;6;;;;;;;;;;;;60001121;1822.601087;0;0;5;1;5;;1;1;1;2;2;2;2;2;2;1;;;1;;;;;;;;1;;;;;;;;;1;;1;;;;;;;;;2;;;1;;;1;1;;;;1;;;;1;;1;;;;
6000129;1;1;1;1;3;2;53;1;5;;;1;;;;;;;2;;1;1;3;;6;;8;5;10;10;8;8;10;0;0;10;60001291;4713.630439;1;0;2;2;5;;1;1;2;2;2;2;2;2;2;2;;1;;;;;;;;;1;;;;;;;;;1;;;;;1;;;;;;1;1;2;;;;;1;;1;;;;;;5;;;;;;
6000129;2;1;2;1;2;1;11;3;5;;;1;;;;;;;2;;1;1;1;;6;;;;;;;;;;;;60001291;4713.630439;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;5;;;;;;
6000129;3;1;3;3;3;2;78;9;4;;;1;;;;;;;2;;1;2;;1;6;;10;8;10;8;6;10;10;0;0;10;60001291;4713.630439;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;1;;1;;;;
6000138;1;1;1;1;3;2;36;1;5;;;1;;;;;;;2;;9;2;;9;6;;3;4;4;5;5;1;0;10;10;4;60001381;3610.642389;2;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;;;;1;1;1;;;;;;1;1;;1;2;1;;;;;1;;1;1;1;1;;;1;;1;1;1;;
6000138;2;1;2;1;3;1;21;3;5;;;1;;;;;;;2;;1;1;1;;6;;0;0;0;0;0;0;0;10;10;0;60001381;3610.642389;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;5;;;;;;
6000138;3;1;3;3;2;1;17;3;5;;;1;;;;;;;2;;1;1;1;;6;;10;10;10;10;10;10;10;0;0;10;60001381;3610.642389;0;0;1;5;5;;1;1;1;1;1;2;1;1;1;1;;1;;;1;;;;;;1;;1;;;;;;;;1;1;;;;;1;1;1;;1;2;1;;;;;1;;1;1;1;1;;;5;;;;;;
6000145;1;1;1;1;3;2;76;1;3;;;1;;;;;;;3;;1;3;;1;6;;10;4;4;0;8;6;0;4;4;10;60001451;2807.582136;0;1;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;2;;1;;;;;;1;;;1;;;
6000145;2;1;2;2;2;1;16;4;5;;;1;;;;;;;2;;4;2;;4;6;;10;6;10;6;10;8;8;0;0;10;60001451;2807.582136;0;0;2;5;5;;1;1;1;1;2;2;1;2;2;2;;1;;;1;;;;;;1;;1;1;1;;;;;1;1;1;;;;;;1;1;;1;2;1;;;;;1;;1;1;1;1;;;5;;;;;;
6000157;1;1;1;1;3;2;72;1;3;;;1;;;;;;;2;;10;2;;10;6;;10;10;10;10;10;10;10;10;0;10;60001571;250.2792241;2;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;1;;;1;;;
6000157;2;1;2;2;3;1;44;3;5;;;1;;;;;;;2;;10;1;1;;6;;6;8;8;8;8;7;7;7;7;8;60001571;250.2792241;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;;;;;1;;1;1;;;;;1;;1;1;;;
6000157;3;1;3;3;3;2;28;3;5;;;1;;;;;;;2;;10;1;1;;6;;6;6;7;7;7;7;8;2;2;7;60001571;250.2792241;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;;;;;1;1;;;;;;;;;1;2;1;;;;;1;;1;1;;1;;;1;;1;;;;
6000185;1;1;1;1;3;2;38;1;5;;;1;;;;;;;3;;1;2;;1;6;;10;9;10;8;10;10;10;0;0;9;60001851;3113.143055;4;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;1;;;;;;;;;;1;;;;;;;;;1;2;1;;;;;1;;1;1;;1;;;5;;;;;;
6000185;2;1;2;1;2;1;13;3;5;;;1;;;;;;;2;;2;1;1;;6;;;;;;;;;;;;60001851;3113.143055;0;0;5;4;1;;1;1;1;2;1;1;1;2;2;1;;;1;1;;;;;;;;;1;;;;;;;1;;;;;1;;;;;;2;;;1;;1;1;2;;1;;;;;1;5;;;;;;
6000185;3;1;3;1;2;1;12;3;5;;;1;;;;;;;2;;2;1;1;;6;;;;;;;;;;;;60001851;3113.143055;0;0;5;2;1;;1;1;1;2;1;1;2;2;2;2;;;1;1;1;;;;;;1;;1;;;;;;;1;;;;;1;;;;1;;2;;;1;;;1;2;;1;;;1;;;5;;;;;;
6000185;4;1;4;1;2;1;10;3;5;;;1;;;;;;;2;;1;1;1;;6;;;;;;;;;;;;60001851;3113.143055;0;0;5;2;1;;1;1;2;2;1;1;2;2;2;1;;;1;1;1;;;;;;1;;1;;;;;;;1;;;;;;;;;1;;2;;;1;;;1;2;;1;;;1;;;5;;;;;;
6000185;5;1;5;1;1;1;6;3;;;;1;;;;;;;2;;1;1;1;;6;;;;;;;;;;;;60001851;3113.143055;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;1;3;;;;;;;1;5;;;;;;
6000192;1;1;1;1;3;2;52;1;5;;;1;;;;;;;3;;9;3;;9;6;;8;9;3;7;3;9;10;7;0;8;60001921;3330.918597;2;4;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;2;;1;;;;;;1;;1;1;;;
6000192;2;1;2;2;3;1;23;3;5;;;1;;;;;;;2;;10;1;1;;6;;7;7;8;6;7;5;7;6;6;10;60001921;3330.918597;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;1;4;;;1;;;;;2;;1;;;;
6000192;3;1;3;3;3;2;21;3;2;1;4;1;;;;;;;2;;9;1;1;;6;;7;7;10;10;10;10;10;0;0;10;60001921;3330.918597;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;1;;1;1;;;
6000192;4;1;4;4;3;1;25;8;2;1;3;2;9;2;70;70001;2;9;2;;9;2;;9;6;;7;6;9;8;10;9;10;7;0;10;60001921;3330.918597;0;0;3;5;5;;1;1;1;1;1;1;1;2;2;2;;1;;;;;;;;;;;;;1;;;;;;1;1;;;;;;;;;2;;;1;;;1;2;;1;;1;;;;2;;1;;;;
6000192;5;1;5;1;1;2;7;4;;;;1;;;;;;;1;4;;1;3;;6;;;;;;;;;;;;60001921;3330.918597;0;0;5;2;5;;2;1;2;2;2;2;2;2;2;2;;;1;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;2;;;2;;;;;;;;;;;;1;;1;;;;
6000192;6;1;6;1;1;1;5;4;;;;1;;;;;;;1;4;;1;3;;6;;;;;;;;;;;;60001921;3330.918597;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;1;;1;;;;
6000192;7;1;7;1;5;1;2;4;;;;1;;;;;;;1;4;;1;3;;6;;;;;;;;;;;;60001921;3330.918597;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6000192;8;1;8;1;5;2;1;4;;;;1;;;;;;;1;4;;1;3;;6;;;;;;;;;;;;60001921;3330.918597;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6000197;1;1;1;1;3;2;47;1;5;;;1;;;;;;;2;;10;2;;1;6;;6;7;6;7;8;10;8;3;0;10;60001971;2914.450637;2;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;5;;;;;;
6000197;2;1;2;1;2;1;17;3;5;;;1;;;;;;;2;;10;1;1;;6;;7;9;9;7;7;7;2;3;5;8;60001971;2914.450637;0;0;1;5;5;;1;1;1;2;2;2;1;2;2;1;;1;;;;;;;;;;;;;1;1;;;;;1;1;;;;;1;;1;;2;;;2;;;;;;;;;;;;3;;1;;;;
6000197;3;1;3;1;2;1;17;3;5;;;1;;;;;;;2;;10;1;1;;6;;7;7;7;8;7;7;6;7;8;8;60001971;2914.450637;0;0;1;5;5;;1;1;1;2;2;2;1;2;2;1;;1;;;;;;;;;;;;;1;1;;;;;1;1;;;;;1;;1;;2;;;2;;;;;;;;;;;;5;;;;;;
6000201;1;1;1;1;3;2;85;1;3;;;1;;;;;;;3;;10;3;;10;6;;8;8;8;7;7;9;7;4;4;7;60002011;2517.234396;1;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;5;;;;;;
6000201;2;1;2;2;3;1;31;3;5;;;1;;;;;;;3;;10;1;1;;6;;9;8;9;7;8;10;7;0;0;9;60002011;2517.234396;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;2;;1;;;;;;5;;;;;;
6000246;1;1;1;1;3;2;41;1;5;;;1;;;;;;;3;;4;1;5;;6;;8;3;6;8;8;7;9;0;0;9;60002461;6731.096877;3;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;1;;;;;;;;1;1;1;;;;;;1;1;;1;2;1;;;;;1;;1;1;1;1;;;3;;1;;;;
6000246;2;1;2;2;3;1;20;3;5;;;1;;;;;;;2;;4;1;1;;6;;8;9;10;7;7;10;5;5;0;7;60002461;6731.096877;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;;;;1;1;1;;;1;;1;1;1;;2;;;1;;;1;1;;;;1;1;;1;1;;1;1;;;1
6000246;3;1;3;3;2;1;16;3;5;;;1;;;;;;;2;;2;1;1;;6;;10;4;10;4;8;8;9;0;2;10;60002461;6731.096877;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;;;;1;;1;;;;;;;1;;2;;;1;;;1;1;;;;1;1;;;5;;;;;;
6000246;4;1;4;4;2;2;7;3;;;;1;;;;;;;2;;1;1;1;;6;;;;;;;;;;;;60002461;6731.096877;0;0;5;5;1;;1;1;2;2;2;2;2;1;2;2;;;;1;;;;;;;1;;1;;;;;;;;;;;;1;;1;;;;2;;;1;;;1;1;;1;;;;;1;5;;;;;;
6000246;5;1;5;5;3;2;75;5;3;;;1;;;;;;;3;;2;3;;2;6;;5;7;3;6;4;2;2;5;7;9;60002461;6731.096877;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;5;;;;;;
6000246;6;1;6;6;3;1;35;7;5;;;2;6;2;11;11001;1;9;2;;3;1;5;;6;;10;8;10;10;10;10;10;0;0;10;60002461;6731.096877;0;0;2;2;5;;1;1;1;1;1;1;1;1;2;1;;;;;1;;;;;;1;1;;1;1;1;;;;1;1;1;1;1;;;1;1;1;;1;2;1;;;;;1;;1;1;;1;;;1;;1;1;1;;
6000246;7;1;7;7;3;1;18;9;5;;;1;;;;;;;1;6;;2;;3;6;;5;0;8;1;10;9;10;6;3;10;60002461;6731.096877;0;0;2;5;5;;1;1;1;1;1;1;1;1;2;1;;;;;1;;;;;;;;1;;;;;;;1;1;1;;;1;;1;1;1;;2;;;1;;;1;1;;;;;1;;;1;;1;1;;;
6000263;1;1;1;1;3;2;62;1;3;;;1;;;;;;;3;;9;3;;1;6;;8;6;7;8;6;8;8;7;4;8;60002631;460.6758091;3;3;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;2;;1;;;;;;1;;1;1;;;
