DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P6016;P1894;P6020;P6040;P6051;P5502;P6071;P6071S1;P6074;P767;P6076;P6076S1;P6076S2;P6077;P6096;P6081;P6081S1;P6087;P6083;P6083S1;P6088;P6080;P5667;P1895;P1896;P1897;P1898;P1899;P1901;P1902;P1903;P1904;P1905;LLAVEHOG;FEX_C;N_HIJOS;N_NIETOS;P1910;P1911;P1912;P1710;P1710S1;P1710S2;P1710S3;P1710S4;P1710S5;P1710S6;P1710S7;P1710S8;P1710S9;P1084;P765;P765S1;P765S2;P765S3;P765S4;P765S5;P765S6;P765S7;P765S8;P1085;P1085S1;P1085S2;P1085S3;P1085S4;P1085S5;P1085S6;P1085S7;P1085S8;P1083;P1083S1;P1083S2;P1083S3;P1083S4;P1083S5;P1083S6;P1083S7;P1083S8;P1083S9;P1083S10;P1083S11;P1082;P1082S1;P1082S2;P5504;P5505;P5505S1;P5505S2;P769;P1080;P1080S1;P1080S2;P1080S3;P1080S4;P1080S5;P1080S6;P804;P805;P805S1;P805S2;P805S3;P805S4;P805S5
6015201;1;1;1;1;3;2;59;1;3;;;1;;;;;;;3;;4;2;;2;6;;9;9;9;7;9;8;8;2;4;9;60152011;2058.194491;2;0;5;5;1;;1;1;1;1;1;1;1;1;1;1;;;;1;1;;;;;;1;;;;;;;;;1;1;1;1;;;;;;;;1;2;1;;;;;1;;1;1;1;1;;;1;;1;1;;;
6015201;2;1;2;2;3;1;30;3;5;;;1;;;;;;;3;;4;1;1;;6;;9;7;9;7;8;8;8;2;0;9;60152011;2058.194491;0;0;1;1;5;;1;1;1;1;1;1;1;1;1;1;;1;1;;1;;;;;;1;1;;;;;;;;1;1;1;1;1;1;;;;;;1;2;1;;;;;1;;1;1;1;1;;;5;;;;;;
6015201;3;1;3;3;3;1;27;3;5;;;1;;;;;;;3;;4;1;1;;6;;8;7;7;8;8;7;8;8;8;8;60152011;2058.194491;0;0;1;1;5;;1;1;1;1;1;1;1;1;1;1;;1;1;;1;;;;;;1;1;;;;;;;;1;1;1;;;1;;;;;;1;2;1;;;;;1;;1;1;1;1;;;5;;;;;;
6015211;1;1;1;1;3;2;44;1;5;;;2;13;2;25;25154;1;8;2;;2;2;;2;6;;7;7;10;3;10;8;8;3;0;10;60152111;2532.992969;1;0;5;2;5;;1;1;1;2;2;2;2;2;2;1;;;;;1;;;;;;1;1;;;;;;;;1;1;1;;;1;1;;;;;1;2;1;;;;;1;;1;1;1;1;;;5;;;;;;
6015211;2;1;2;1;1;1;7;3;;;;1;;;;;;;2;;2;1;1;;6;;;;;;;;;;;;60152111;2532.992969;0;0;5;2;5;;2;2;2;2;2;2;2;2;2;2;;;1;;;;;;;;1;;;;;;;;;1;;;;;1;;;;;;2;;;2;;;;;;;;;;;;5;;;;;;
6015214;1;1;1;1;3;2;55;1;5;;;2;30;2;54;54001;1;4;3;;8;3;;8;6;;5;3;8;3;8;8;8;3;1;10;60152141;2361.413013;1;0;5;1;1;;1;1;1;1;1;1;1;1;2;1;;;1;;1;;1;;;;1;1;;;;;1;;;1;1;1;;1;;;;1;;;1;2;1;;;;;1;;1;1;1;1;;;1;;;1;;;
6015214;2;1;2;2;3;1;21;3;5;;;1;;;;;;;2;;8;1;1;;6;;10;7;10;7;10;8;8;5;0;10;60152141;2361.413013;0;0;5;1;5;;1;1;1;1;1;1;1;1;1;1;;;1;;1;1;;;;;1;;1;;;;1;;;1;1;1;1;1;1;1;1;1;1;;1;2;1;;;;;1;;1;;1;1;;;1;;1;1;;;
6015227;1;1;1;1;3;2;35;1;5;;;1;;;;;;;2;;1;2;;2;6;;4;3;10;6;3;7;7;0;0;10;60152271;2834.2136;2;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;1;;;;;;;;1;1;1;;;1;;;;;;1;2;1;;;;;1;;1;1;1;1;;;1;;;;;1;
6015227;2;1;2;2;2;1;16;3;5;;;1;;;;;;;2;;2;1;1;;6;;8;9;9;7;8;9;9;2;0;10;60152271;2834.2136;0;0;2;5;5;;1;1;1;2;2;2;2;2;2;1;;;;;1;;;;;;1;;1;;;;;;;1;1;1;;;1;;;;;;1;2;1;;;;;1;;1;1;1;1;;;1;;1;;;;
6015227;3;1;3;1;1;1;0;3;;;;1;;;;;;;2;;4;1;1;;6;;;;;;;;;;;;60152271;2834.2136;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
